entity,class,kb_id,link_confidence,mentions
Adrenal Cortex,MULTI_TISSUE_STRUCTURE,C0001613,1.0,2
Neocortex,ORGANISM,C0175173,1.0,2
Blood,ORGANISM_SUBSTANCE,C0005767,1.0,2
Serum,ORGANISM_SUBSTANCE,C0229671,1.0,2
interleukin-6,GENE_OR_GENE_PRODUCT,C0021760,1.0,2
nitric oxide,GENE_OR_GENE_PRODUCT,C0028128,0.9999999403953552,2
N-Methylaspartate,SIMPLE_CHEMICAL,C0079883,1.0,2
ubiquitin-protein ligase,GENE_OR_GENE_PRODUCT,C0077678,0.7128848433494568,2
SORL1 gene,GENE_OR_GENE_PRODUCT,C1420312,1.0,2
beta-Secretase,GENE_OR_GENE_PRODUCT,C1454853,1.0,2
gamma-Secretase,GENE_OR_GENE_PRODUCT,C0379528,1.0,2
Amyloid beta-Protein Precursor,GENE_OR_GENE_PRODUCT,C0085151,1.0,2
"PSEN1 protein, human",GENE_OR_GENE_PRODUCT,C1311407,1.0,2
rotenone,SIMPLE_CHEMICAL,C0035871,1.0,2
BAX gene,GENE_OR_GENE_PRODUCT,C0812198,1.0,2
Amyloid Fibrils,GENE_OR_GENE_PRODUCT,C1449651,1.0,2
T-Lymphocyte,CELL,C0039194,1.0,2
ubiquitin C-terminal hydrolase,GENE_OR_GENE_PRODUCT,C0164005,0.9364239573478699,2
Sirtuins,GENE_OR_GENE_PRODUCT,C1136177,1.0,2
Cytochrome P-450 CYP2D6,GENE_OR_GENE_PRODUCT,C0057223,1.0,2
Lipids,SIMPLE_CHEMICAL,C0023779,1.0,2
"TFAM protein, human",GENE_OR_GENE_PRODUCT,C0209673,1.0,2
Tumor Necrosis Factors,GENE_OR_GENE_PRODUCT,C0041368,1.0,2
Cerebellum,PATHOLOGICAL_FORMATION,C0007765,1.0,2
Heme Oxygenase-1,GENE_OR_GENE_PRODUCT,C0538674,1.0,2
HTRA2 gene,GENE_OR_GENE_PRODUCT,C1825553,1.0,2
"Niemann-Pick Disease, Type C",CANCER,C0220756,0.9999999403953552,2
NPC1 gene,GENE_OR_GENE_PRODUCT,C1417776,1.0,2
NPC2 gene,GENE_OR_GENE_PRODUCT,C1422736,1.0,2
PRKN gene,GENE_OR_GENE_PRODUCT,C1418270,0.9999999403953552,2
Machado-Joseph Disease,GENE_OR_GENE_PRODUCT,C0024408,1.0,2
Guarani language,GENE_OR_GENE_PRODUCT,C0574239,1.0,2
ATP7B gene,GENE_OR_GENE_PRODUCT,C1412689,0.9999999403953552,2
Cells,CELL,C0007634,0.9999998807907104,2
SKP1 gene,GENE_OR_GENE_PRODUCT,C1420081,0.9999999403953552,2
1-Methyl-4-phenylpyridinium,SIMPLE_CHEMICAL,C0000098,1.0,2
Leukocytes,CELL,C0023516,0.9999999403953552,2
epigallocatechin gallate,GENE_OR_GENE_PRODUCT,C0059438,0.7420905828475952,2
norepinephrine,SIMPLE_CHEMICAL,C0028351,1.0,2
Peptides,GENE_OR_GENE_PRODUCT,C0030956,0.7379772663116455,2
adenosine,SIMPLE_CHEMICAL,C0001443,1.0,2
LAMP1 gene,GENE_OR_GENE_PRODUCT,C1416788,1.0,2
CATHEPSIN D,GENE_OR_GENE_PRODUCT,C0007427,1.0,2
Heat shock proteins,GENE_OR_GENE_PRODUCT,C0018850,0.8491930365562439,2
Mandibular left second premolar tooth,GENE_OR_GENE_PRODUCT,C0227059,0.9999999403953552,2
NF-kappa B,GENE_OR_GENE_PRODUCT,C0079904,1.0,2
Malignant neoplasm of breast,CANCER,C0006142,1.0,2
ceramides,SIMPLE_CHEMICAL,C0007745,1.0,2
Niemann-Pick Diseases,ORGANISM,C0028064,0.8933202624320984,2
JUN kinase activity,GENE_OR_GENE_PRODUCT,C1150587,1.0,2
manganese,SIMPLE_CHEMICAL,C0024706,1.0,2
Cell body of neuron,CELL,C0599444,0.859292209148407,2
Apolipoprotein E2,GENE_OR_GENE_PRODUCT,C0052198,0.7485668659210205,2
UBQLN1 gene,GENE_OR_GENE_PRODUCT,C1421304,1.0,2
Synucleins,GENE_OR_GENE_PRODUCT,C0165073,1.0,2
Argyrophilic inclusion bodies,CELLULAR_COMPONENT,C4021022,0.701961100101471,2
"Anti-Inflammatory Agents, Non-Steroidal",GENE_OR_GENE_PRODUCT,C0003211,0.9479753971099854,2
Astrocytes,CELL,C0004112,1.0,2
HSPA8 gene,GENE_OR_GENE_PRODUCT,C1415764,1.0,2
Cholinergic Neurons,CANCER,C2333949,0.7280007600784302,2
Rattus norvegicus,ORGANISM,C0034693,1.0,2
caspase-3,GENE_OR_GENE_PRODUCT,C0291573,1.0,2
Medulla Oblongata,MULTI_TISSUE_STRUCTURE,C0025148,1.0,2
Brain Stem,CANCER,C0006121,1.0,2
rivastigmine,SIMPLE_CHEMICAL,C0649350,1.0,2
Adrenal Cortex Diseases,CANCER,C0001614,1.0,2
Basal Forebrain,CANCER,C2331620,1.0,2
Neuroglia,CELL,C0027836,0.8982465267181396,2
Cu-Zn Superoxide Dismutase,GENE_OR_GENE_PRODUCT,C0010461,1.0,2
NEDD9 gene,GENE_OR_GENE_PRODUCT,C1417664,1.0,2
clonazepam,SIMPLE_CHEMICAL,C0009011,1.0,2
Eye,ORGAN,C0015392,0.9999999403953552,2
GTF2H1 gene,GENE_OR_GENE_PRODUCT,C1333723,1.0,2
Lentiform nucleus structure,MULTI_TISSUE_STRUCTURE,C0162342,0.9999999403953552,2
Spinocerebellar Ataxia Type 2,GENE_OR_GENE_PRODUCT,C0752121,1.0,2
KLC1 gene,GENE_OR_GENE_PRODUCT,C1416692,0.9999998807907104,2
Lung,ORGAN,C0024109,1.0,2
Antiparkinson Agents,SIMPLE_CHEMICAL,C0003405,1.0,1
CRMP1 gene,GENE_OR_GENE_PRODUCT,C1413714,1.0,1
ATG7 gene,GENE_OR_GENE_PRODUCT,C1825498,1.0,1
HERPUD1 gene,GENE_OR_GENE_PRODUCT,C1422179,1.0,1
inositol triphosphate,SIMPLE_CHEMICAL,C0815032,0.9999998807907104,1
NADH dehydrogenase (ubiquinone),GENE_OR_GENE_PRODUCT,C0171406,1.0,1
Angular,CELLULAR_COMPONENT,C0205143,0.8640576601028442,1
Skin fibroblast,CELL,C1272578,0.9999998807907104,1
Neoplasms,CANCER,C0027651,1.0,1
Lipofuscin,SIMPLE_CHEMICAL,C0023789,1.0,1
macromolecule,CELLULAR_COMPONENT,C0178735,1.0,1
HTR2A gene,GENE_OR_GENE_PRODUCT,C1415809,1.0,1
ubidecarenone,SIMPLE_CHEMICAL,C0041536,1.0,1
Kynurenine,SIMPLE_CHEMICAL,C0022818,1.0,1
Kynurenic Acid,SIMPLE_CHEMICAL,C0022816,1.0,1
Quinolinic Acid,SIMPLE_CHEMICAL,C0072879,0.9999999403953552,1
Cytoskeleton,CELLULAR_COMPONENT,C0010853,1.0,1
"Hydrocarbons, Chlorinated",SIMPLE_CHEMICAL,C0020247,0.9261016845703125,1
Lipopolysaccharides,GENE_OR_GENE_PRODUCT,C0023810,1.0,1
Glutamate Receptor,GENE_OR_GENE_PRODUCT,C0061465,1.0,1
Anastasis,GENE_OR_GENE_PRODUCT,C1512772,0.7170556783676147,1
Psen,GENE_OR_GENE_PRODUCT,C4332224,1.0,1
Ferritin,GENE_OR_GENE_PRODUCT,C0015879,1.0,1
"PSEN2 protein, human",GENE_OR_GENE_PRODUCT,C1311406,1.0,1
Peripheral Nervous System,MULTI_TISSUE_STRUCTURE,C0206417,0.8589266538619995,1
Endothelial Cells,CELL,C0225336,1.0,1
Embryonic Stem Cells,CELL,C0596508,1.0,1
Bashkir language,GENE_OR_GENE_PRODUCT,C0574198,1.0,1
Ganglioside GM1,SIMPLE_CHEMICAL,C0016895,1.0,1
protein autoubiquitination,GENE_OR_GENE_PRODUCT,C1816438,0.7077993750572205,1
"NOS2A protein, human",GENE_OR_GENE_PRODUCT,C0669372,0.9999998807907104,1
anatabine,SIMPLE_CHEMICAL,C0051816,0.769914448261261,1
Optic Atrophy 1,GENE_OR_GENE_PRODUCT,C0338508,1.0,1
MFN1 gene,GENE_OR_GENE_PRODUCT,C1425402,1.0,1
"DNM1L protein, human",GENE_OR_GENE_PRODUCT,C0669938,1.0,1
Microtubules,CELLULAR_COMPONENT,C0026046,1.0,1
Cardiovascular system,ANATOMICAL_SYSTEM,C0007226,0.9999999403953552,1
Recombinant Interleukin-1-beta,GENE_OR_GENE_PRODUCT,C1522432,1.0,1
Purkinje Cells,CELL,C0034143,1.0,1
Autophagic vaculoes (finding),CELLULAR_COMPONENT,C0544966,1.0,1
latrepirdine,SIMPLE_CHEMICAL,C0058188,1.0,1
Leg,ORGANISM_SUBDIVISION,C1140621,1.0,1
Olfactory Mucosa,MULTI_TISSUE_STRUCTURE,C0028937,0.9999999403953552,1
Extrapyramidal Disorders,PATHOLOGICAL_FORMATION,C0015371,1.0,1
curcumin,SIMPLE_CHEMICAL,C0010467,1.0,1
ferulic acid,SIMPLE_CHEMICAL,C0060291,1.0,1
carbon monoxide,SIMPLE_CHEMICAL,C0007018,1.0,1
Biliverdine,SIMPLE_CHEMICAL,C0005446,1.0,1
Bilirubin,SIMPLE_CHEMICAL,C0005437,1.0,1
anterior cingulate gyrus,MULTI_TISSUE_STRUCTURE,C0175190,1.0,1
Myelin,GENE_OR_GENE_PRODUCT,C0026969,1.0,1
GLUCOSYLCERAMIDASE,GENE_OR_GENE_PRODUCT,C0017768,1.0,1
luteinizing hormone,GENE_OR_GENE_PRODUCT,C0023607,1.0,1
Gonadotropins,GENE_OR_GENE_PRODUCT,C0018061,1.0,1
"Lamr1 protein, human",GENE_OR_GENE_PRODUCT,C2001624,1.0,1
Sindbis Virus,ORGANISM,C0037170,1.0,1
"Encephalomyelitis, Equine",ORGANISM,C0014074,1.0,1
Dengue Virus,ORGANISM,C0011315,0.9999998807907104,1
pentosan polysulfate,SIMPLE_CHEMICAL,C0600296,1.0,1
Apolipoprotein E3,GENE_OR_GENE_PRODUCT,C0052199,1.0,1
Pink color,GENE_OR_GENE_PRODUCT,C0332585,0.9999998807907104,1
Nuclear deoxyribonucleic acid,CELLULAR_COMPONENT,C1179920,1.0,1
apomorphine,SIMPLE_CHEMICAL,C0003596,0.9999998807907104,1
Dopa,SIMPLE_CHEMICAL,C0013023,0.9999999403953552,1
epoxomicin,SIMPLE_CHEMICAL,C0656383,1.0,1
PLA2G6 gene,GENE_OR_GENE_PRODUCT,C1418624,1.0,1
FMR1 gene,GENE_OR_GENE_PRODUCT,C1414649,1.0,1
PANK2 gene,GENE_OR_GENE_PRODUCT,C1423814,0.9999999403953552,1
FBXO7 gene,GENE_OR_GENE_PRODUCT,C1422081,1.0,1
JPH3 gene,GENE_OR_GENE_PRODUCT,C1422484,1.0,1
cyclosporine,SIMPLE_CHEMICAL,C0010592,1.0,1
Synaptic Vesicular Amine Transporter,GENE_OR_GENE_PRODUCT,C3539788,0.8523598313331604,1
caspase,GENE_OR_GENE_PRODUCT,C0010656,1.0,1
polyphenols,SIMPLE_CHEMICAL,C0071649,1.0,1
Helicobacter pylori,ORGANISM,C0079488,1.0,1
immunoglobulin G,GENE_OR_GENE_PRODUCT,C0020852,1.0,1
Reactive Oxygen Metabolite Measurement,SIMPLE_CHEMICAL,C4048784,0.8307108879089355,1
Lipid Peroxides,SIMPLE_CHEMICAL,C0023776,1.0,1
SNCG gene,GENE_OR_GENE_PRODUCT,C1335851,0.842490553855896,1
"ABeta amyloidosis, Arctic type",GENE_OR_GENE_PRODUCT,C5679880,0.8033619523048401,1
alpha-Crystallin B Chain,GENE_OR_GENE_PRODUCT,C0524533,0.8171738982200623,1
"Lens, Crystalline",TISSUE,C0023317,1.0,1
glycogen synthase kinase 3 beta,GENE_OR_GENE_PRODUCT,C0244988,1.0,1
lithium,SIMPLE_CHEMICAL,C0023870,0.9999999403953552,1
"4-benzyl-2-methyl-1,2,4-thiadiazolidine-3,5-dione",SIMPLE_CHEMICAL,C1530412,1.0,1
Cardiomyopathies,ORGANISM,C0878544,0.7483879923820496,1
Hematopoietic stem cells,CELL,C0018956,0.9999999403953552,1
Protein Tyrosine Kinase,GENE_OR_GENE_PRODUCT,C0033681,0.8344128727912903,1
Manganese Superoxide Dismutase,GENE_OR_GENE_PRODUCT,C0024708,0.9999999403953552,1
Fibroblasts,CELL,C0016030,0.9999999403953552,1
"Cytochrome C, human",GENE_OR_GENE_PRODUCT,C4318401,1.0,1
mortalin,GENE_OR_GENE_PRODUCT,C0214599,1.0,1
Nerve Growth Factors,GENE_OR_GENE_PRODUCT,C0027754,1.0,1
Monoamine Oxidase,GENE_OR_GENE_PRODUCT,C0026454,1.0,1
serotonin,GENE_OR_GENE_PRODUCT,C0036751,1.0,1
phenethylamine,SIMPLE_CHEMICAL,C0070559,1.0,1
osteopontin,GENE_OR_GENE_PRODUCT,C0069676,1.0,1
Liver acupuncture point LR11,GENE_OR_GENE_PRODUCT,C0450776,1.0,1
Vaccines,ORGANISM,C0042210,1.0,1
beta-Actin,GENE_OR_GENE_PRODUCT,C0005186,1.0,1
Catechol O-Methyltransferase,GENE_OR_GENE_PRODUCT,C0007407,1.0,1
"SIAH2 protein, human",GENE_OR_GENE_PRODUCT,C1436357,0.7178743481636047,1
UBE2E2 gene,GENE_OR_GENE_PRODUCT,C1421277,1.0,1
NR4A2 gene,GENE_OR_GENE_PRODUCT,C1417836,1.0,1
SNCAIP gene,GENE_OR_GENE_PRODUCT,C1420277,1.0,1
Gamma synuclein,GENE_OR_GENE_PRODUCT,C0753208,1.0,1
glutamic acid,SIMPLE_CHEMICAL,C0061472,1.0,1
Tissue membrane,CELLULAR_COMPONENT,C0025255,1.0,1
Skeletal muscle structure,TISSUE,C0242692,1.0,1
methamphetamine,SIMPLE_CHEMICAL,C0025611,1.0,1
I-kappa B Proteins,GENE_OR_GENE_PRODUCT,C0167954,1.0,1
melanoma,CANCER,C0025202,1.0,1
Interleukin-1,GENE_OR_GENE_PRODUCT,C0021755,1.0,1
Sphingomyelins,SIMPLE_CHEMICAL,C0037906,1.0,1
icosapent ethyl,ORGANISM,C0058978,0.7301073670387268,1
eicosapentaenoic acid,SIMPLE_CHEMICAL,C0000545,1.0,1
Docosahexaenoic Acids,SIMPLE_CHEMICAL,C0012968,1.0,1
cyclooxygenase 2,GENE_OR_GENE_PRODUCT,C0387583,1.0,1
Parietal Lobe,PATHOLOGICAL_FORMATION,C0030560,1.0,1
Rage,GENE_OR_GENE_PRODUCT,C0034634,0.9999999403953552,1
PSMC2 gene,GENE_OR_GENE_PRODUCT,C1419021,1.0,1
PSMD1 gene,GENE_OR_GENE_PRODUCT,C1419027,1.0,1
pyruvate dehydrogenase,GENE_OR_GENE_PRODUCT,C0034343,0.9999999403953552,1
Alcohol dehydrogenase,GENE_OR_GENE_PRODUCT,C0001942,1.0,1
HSD17B10 gene,GENE_OR_GENE_PRODUCT,C1825528,1.0,1
TP73 gene,GENE_OR_GENE_PRODUCT,C0812244,1.0,1
Chlamydophila pneumoniae,ORGANISM,C0085504,1.0,1
Simplexvirus,ORGANISM,C0206558,1.0,1
MTFP1 gene,GENE_OR_GENE_PRODUCT,C1853254,1.0,1
Genus: Lentivirus group,ORGANISM,C0079679,1.0,1
Saccharomyces cerevisiae,CELLULAR_COMPONENT,C0036025,1.0,1
transglutaminase 2,GENE_OR_GENE_PRODUCT,C0529334,1.0,1
Parkinsonian Disorders,ORGANISM_SUBDIVISION,C0242422,0.8515501022338867,1
streptozocin,GENE_OR_GENE_PRODUCT,C0038432,1.0,1
Choline O-Acetyltransferase,SIMPLE_CHEMICAL,C0008407,1.0,1
acetylcholine,GENE_OR_GENE_PRODUCT,C0001041,1.0,1
Congo Red,GENE_OR_GENE_PRODUCT,C0009742,1.0,1
CNR2 gene,GENE_OR_GENE_PRODUCT,C1413555,1.0,1
H3-4 gene,GENE_OR_GENE_PRODUCT,C1442482,0.7793897986412048,1
Integrin alpha6,GENE_OR_GENE_PRODUCT,C0289325,0.7685972452163696,1
BACE1 gene,GENE_OR_GENE_PRODUCT,C1412727,1.0,1
Immunoglobulin Fv Fragments,GENE_OR_GENE_PRODUCT,C3489397,0.702517032623291,1
Neurofilaments,GENE_OR_GENE_PRODUCT,C0027834,1.0,1
Ataxia Telangiectasia,PATHOLOGICAL_FORMATION,C0004135,1.0,1
Hematologic Neoplasms,CANCER,C0376545,1.0,1
Acute leukemia,CANCER,C0085669,1.0,1
Actins,GENE_OR_GENE_PRODUCT,C0001271,1.0,1
phospholipids,SIMPLE_CHEMICAL,C0031676,1.0,1
aluminum,SIMPLE_CHEMICAL,C0002367,0.9999999403953552,1
Transferrin,GENE_OR_GENE_PRODUCT,C0040679,1.0,1
"ATP7A protein, human",GENE_OR_GENE_PRODUCT,C0216162,1.0,1
Liver,ORGAN,C0023884,1.0,1
midbrain dopaminergic neuron differentiation,CANCER,C4235602,0.8644036054611206,1
Senile Plaques,CELLULAR_COMPONENT,C0333463,0.8625156879425049,1
UPPS Impulsive Behavior Scale,CANCER,C3484385,1.0,1
Term (lexical),PATHOLOGICAL_FORMATION,C1705313,0.8477967381477356,1
Linear,CELL,C0205132,1.0,1
"interleukin-1, beta",GENE_OR_GENE_PRODUCT,C0021753,1.0,1
Superoxides,SIMPLE_CHEMICAL,C0038836,1.0,1
Prefrontal Cortex,CANCER,C0162783,1.0,1
"MAPK8 protein, human",GENE_OR_GENE_PRODUCT,C5441984,1.0,1
Granulovacuolar degeneration,CELLULAR_COMPONENT,C0333454,0.8378126621246338,1
Lewy Neurites,TISSUE,C3548404,1.0,1
"BMP2 protein, human",GENE_OR_GENE_PRODUCT,C1567772,0.7149679660797119,1
HSP90 Heat-Shock Proteins,GENE_OR_GENE_PRODUCT,C0243044,1.0,1
PAWR gene,GENE_OR_GENE_PRODUCT,C1335191,1.0,1
RCAN1 gene,GENE_OR_GENE_PRODUCT,C1414160,1.0,1
NFAT protein binding,GENE_OR_GENE_PRODUCT,C1657235,0.7667155861854553,1
protein disulfide isomerase activity,GENE_OR_GENE_PRODUCT,C1150347,0.7906268835067749,1
HYOU1 gene,GENE_OR_GENE_PRODUCT,C1333935,0.8096362352371216,1
Neuroblastoma,ORGANISM,C0027819,0.7562943696975708,1
Dependovirus,ORGANISM,C0001417,1.0,1
beta-2 Microglobulin,GENE_OR_GENE_PRODUCT,C0005149,0.8108471632003784,1
cystamine,SIMPLE_CHEMICAL,C0010637,0.9999999403953552,1
Heat-Shock Proteins 70,GENE_OR_GENE_PRODUCT,C0243043,0.76579350233078,1
superoxide dismutase 2,GENE_OR_GENE_PRODUCT,C0968147,1.0,1
GPR132 gene,GENE_OR_GENE_PRODUCT,C1424979,1.0,1
Toll-like receptors,GENE_OR_GENE_PRODUCT,C0670896,0.9999999403953552,1
CD14 Antigen,GENE_OR_GENE_PRODUCT,C0108768,0.9999999403953552,1
"TLR2 protein, human",GENE_OR_GENE_PRODUCT,C0754727,1.0,1
Olfactory tract,ORGANISM,C0162435,1.0,1
anterior olfactory nucleus,MULTI_TISSUE_STRUCTURE,C0175225,1.0,1
SEPTIN4 gene,GENE_OR_GENE_PRODUCT,C1539747,1.0,1
Nicotinic Receptors,SIMPLE_CHEMICAL,C0034830,1.0,1
epibatidine,SIMPLE_CHEMICAL,C0219269,1.0,1
Antiviral Agents,ORGANISM,C0003451,0.7824088931083679,1
"Infectious Anemia Virus, Equine",ORGANISM,C0014662,1.0,1
Simian immunodeficiency virus,ORGANISM,C0037224,1.0,1
Feline Immunodeficiency Virus,ORGANISM,C0079337,1.0,1
BECN1 gene,GENE_OR_GENE_PRODUCT,C1412785,1.0,1
bafilomycin A,SIMPLE_CHEMICAL,C0052918,0.9727573394775391,1
MAP1LC3A gene,GENE_OR_GENE_PRODUCT,C1417005,1.0,1
NADPH Oxidase,GENE_OR_GENE_PRODUCT,C0068355,1.0,1
"PLA2G4A protein, human",CELLULAR_COMPONENT,C0912034,1.0,1
Xanthine Oxidase,SIMPLE_CHEMICAL,C0043317,1.0,1
Nitric Oxide Synthase Type I,CELL,C0669368,1.0,1
Procaspase-9,GENE_OR_GENE_PRODUCT,C0758917,1.0,1
Caspase 12,GENE_OR_GENE_PRODUCT,C0911469,1.0,1
caspase-8,GENE_OR_GENE_PRODUCT,C0667830,0.9999998807907104,1
Apoptosis Inducing Factor,CELLULAR_COMPONENT,C0763396,0.8821109533309937,1
Cyclophilin A,GENE_OR_GENE_PRODUCT,C0164198,1.0,1
FASLG gene,GENE_OR_GENE_PRODUCT,C1539478,1.0,1
(3H)2-carbomethoxy-3-(4-fluorophenyl)tropane,SIMPLE_CHEMICAL,C0377107,0.9999999403953552,1
HFE gene,GENE_OR_GENE_PRODUCT,C1384665,1.0,1
CALHM1 gene,GENE_OR_GENE_PRODUCT,C1539418,1.0,1
Peripheral Blood Lymphocyte,CELL,C1518997,0.9592927694320679,1
Cholinesterases,SIMPLE_CHEMICAL,C0008429,1.0,1
