entity,class,kb_id,link_confidence,mentions
Hippocampus (Brain),TISSUE,C0019564,1.0,4
Patients,ORGANISM,C0030705,1.0,4
Parkinsonian Disorders,ORGANISM,C0242422,0.8439116477966309,4
phospholipids,SIMPLE_CHEMICAL,C0031676,1.0,3
SEPTIN5 wt Allele,GENE_OR_GENE_PRODUCT,C3273594,1.0,3
Amyloid Fibrils,GENE_OR_GENE_PRODUCT,C1449651,1.0,3
Presenilin-2,GENE_OR_GENE_PRODUCT,C0528480,1.0,3
rotenone,SIMPLE_CHEMICAL,C0035871,1.0,3
neuronal,CELL,C0521390,1.0,3
homocysteine,SIMPLE_CHEMICAL,C0019878,1.0,3
Dopa,SIMPLE_CHEMICAL,C0013023,0.9999999403953552,3
ethanol,SIMPLE_CHEMICAL,C0001962,1.0,3
"interleukin-1, beta",GENE_OR_GENE_PRODUCT,C0021753,1.0,3
Heart,ORGAN,C0018787,0.9999999403953552,3
Glutamates,GENE_OR_GENE_PRODUCT,C0017789,1.0,3
Prostaglandin-Endoperoxide Synthase,GENE_OR_GENE_PRODUCT,C0033551,0.9999998807907104,3
rivastigmine,SIMPLE_CHEMICAL,C0649350,1.0,3
Cholinergic Neurons,ORGANISM,C2333949,1.0,3
Amyloid beta-Protein Precursor,GENE_OR_GENE_PRODUCT,C0085151,1.0,3
donepezil,SIMPLE_CHEMICAL,C0527316,1.0,3
vitamin E,SIMPLE_CHEMICAL,C0042874,0.9999998807907104,3
Lipids,SIMPLE_CHEMICAL,C0023779,1.0,3
Prostaglandins,SIMPLE_CHEMICAL,C0033554,1.0,3
Rattus norvegicus,ORGANISM,C0034693,1.0,3
Hydroxyl Radical,SIMPLE_CHEMICAL,C0063146,0.9999999403953552,3
Microtubules,CELLULAR_COMPONENT,C0026046,1.0,3
"TGM2 protein, human",GENE_OR_GENE_PRODUCT,C5565118,0.9999999403953552,3
Green Fluorescent Proteins,GENE_OR_GENE_PRODUCT,C0120285,1.0,3
Synucleins,ORGANISM,C0165073,0.8745154142379761,3
Gaucher Disease,CANCER,C0017205,1.0,3
Cytochrome P-450 CYP2D6,GENE_OR_GENE_PRODUCT,C0057223,1.0,3
acetylcysteine,SIMPLE_CHEMICAL,C0001047,1.0,2
beta-Synuclein,GENE_OR_GENE_PRODUCT,C0245467,1.0,2
Gamma synuclein,GENE_OR_GENE_PRODUCT,C0753208,1.0,2
4-hydroxy-2-nonenal,SIMPLE_CHEMICAL,C0048297,1.0,2
superoxide dismutase 1,GENE_OR_GENE_PRODUCT,C0669516,0.7164021730422974,2
Nerve Growth Factors,GENE_OR_GENE_PRODUCT,C0027754,1.0,2
Cytochromes c,GENE_OR_GENE_PRODUCT,C0010749,1.0,2
PARK7 gene,GENE_OR_GENE_PRODUCT,C1424222,1.0,2
NADH dehydrogenase (ubiquinone),CELLULAR_COMPONENT,C0171406,1.0,2
dorsal raphe nucleus,MULTI_TISSUE_STRUCTURE,C0175392,0.8382924795150757,2
Plasma membrane,CELLULAR_COMPONENT,C0007603,1.0,2
clozapine,SIMPLE_CHEMICAL,C0009079,1.0,2
olanzapine,SIMPLE_CHEMICAL,C0171023,1.0,2
folate,SIMPLE_CHEMICAL,C0178638,0.9999998807907104,2
Dopaminergic Neurons,TISSUE,C1512035,0.7666611075401306,2
UBE2E2 gene,GENE_OR_GENE_PRODUCT,C1421277,1.0,2
TNF gene,GENE_OR_GENE_PRODUCT,C0812246,1.0,2
manganese,SIMPLE_CHEMICAL,C0024706,1.0,2
Pityriasis Rubra Pilaris,GENE_OR_GENE_PRODUCT,C0032027,0.9999999403953552,2
House mice,ORGANISM,C0025914,1.0,2
Craniocerebral Trauma,CANCER,C0018674,1.0,2
carbon monoxide,SIMPLE_CHEMICAL,C0007018,1.0,2
5-hydroxytryptamine uptake,GENE_OR_GENE_PRODUCT,C1621749,0.8567214608192444,2
Oxidopamine,SIMPLE_CHEMICAL,C0085196,1.0,2
"TNF protein, human",GENE_OR_GENE_PRODUCT,C1448177,1.0,2
Gyrus Cinguli,PATHOLOGICAL_FORMATION,C0018427,0.9999999403953552,2
Dependovirus,ORGANISM,C0001417,1.0,2
Drosophila melanogaster,ORGANISM,C0013139,1.0,2
Apolipoprotein E2,GENE_OR_GENE_PRODUCT,C0052198,0.7485668659210205,2
tacrine,SIMPLE_CHEMICAL,C0039245,1.0,2
Fibroblasts,CELL,C0016030,0.9999999403953552,2
galantamine,SIMPLE_CHEMICAL,C0016967,0.9999999403953552,2
polyglutamine,GENE_OR_GENE_PRODUCT,C0384782,1.0,2
Neural Stem Cells,CELL,C1113654,1.0,2
Lateral ventricle structure,MULTI_TISSUE_STRUCTURE,C0152279,1.0,2
Thalamic structure,ORGANISM,C0039729,1.0,2
Limbic lobe,ANATOMICAL_SYSTEM,C0458337,0.7838686108589172,2
"Drosophila <fruit fly, genus>",ORGANISM,C0013138,1.0,2
glucose,SIMPLE_CHEMICAL,C0017725,1.0,2
Liver,ORGAN,C0023884,1.0,2
alpha 2-Glucoproteins,GENE_OR_GENE_PRODUCT,C0002198,1.0,2
Spinal Cord,ORGAN,C0037925,1.0,2
Apolipoprotein E4,GENE_OR_GENE_PRODUCT,C0052201,1.0,2
Cerebrovascular system,MULTI_TISSUE_STRUCTURE,C0225992,1.0,2
SEPTIN6 gene,GENE_OR_GENE_PRODUCT,C1423771,1.0,2
Cells,CELL,C0007634,1.0,2
Oligodendroglia,CELL,C0028944,1.0,2
glutathione,SIMPLE_CHEMICAL,C0017817,1.0,2
Superoxides,SIMPLE_CHEMICAL,C0038836,1.0,2
CA1 field,ORGANISM,C0694598,0.9999998807907104,2
Structure of dentate gyrus,CANCER,C0152314,1.0,2
Peripheral Nervous System,MULTI_TISSUE_STRUCTURE,C0206417,0.8589266538619995,2
Frontotemporal,MULTI_TISSUE_STRUCTURE,C4330011,0.7342543005943298,2
Structure of olfactory bulb,MULTI_TISSUE_STRUCTURE,C0028936,1.0,2
Pyramidal Cells,CANCER,C0206441,1.0,2
PSEN1 gene,GENE_OR_GENE_PRODUCT,C1418985,1.0,2
Amygdaloid structure,ORGANISM,C0002708,1.0,2
tyrosine,AMINO_ACID,C0041485,1.0,2
Parietal Lobe,PATHOLOGICAL_FORMATION,C0030560,1.0,2
Muscle Tissue,ORGAN,C0026845,1.0,2
oxybate,SIMPLE_CHEMICAL,C0000503,0.9999999403953552,2
Lewy Body Disease,GENE_OR_GENE_PRODUCT,C0752347,1.0,2
superoxide dismutase,GENE_OR_GENE_PRODUCT,C0038838,1.0,2
"Hematoma, Subdural",PATHOLOGICAL_FORMATION,C0018946,0.9277423024177551,2
Manganese Superoxide Dismutase,GENE_OR_GENE_PRODUCT,C0024708,0.9999999403953552,2
Microtubule-Associated Proteins,GENE_OR_GENE_PRODUCT,C0026045,1.0,2
Cingulate Cortex,CANCER,C0598179,0.883976936340332,2
selegiline,SIMPLE_CHEMICAL,C0036579,1.0,2
Monoamine Oxidase A,GENE_OR_GENE_PRODUCT,C0026455,1.0,2
Basal Nucleus of Meynert,TISSUE,C0004788,0.8961302042007446,2
Ganglioside GM1,SIMPLE_CHEMICAL,C0016895,1.0,1
caffeine,SIMPLE_CHEMICAL,C0006644,1.0,1
Retinal Ganglion Cells,TISSUE,C0035316,1.0,1
Polyunsaturated Fatty Acids,SIMPLE_CHEMICAL,C0032615,1.0,1
Amino Acids,AMINO_ACID,C0002520,1.0,1
Neurite dystrophy,TISSUE,C2674684,1.0,1
Precursor,GENE_OR_GENE_PRODUCT,C1709634,0.7386253476142883,1
CDK5 gene,GENE_OR_GENE_PRODUCT,C1332735,1.0,1
glycogen synthase kinase 3 beta,GENE_OR_GENE_PRODUCT,C0244988,1.0,1
Place Cells,CELL,C4277646,0.9166205525398254,1
calcium,SIMPLE_CHEMICAL,C0006675,0.9999999403953552,1
frataxin,ORGANISM,C0387678,1.0,1
APAF1 gene,GENE_OR_GENE_PRODUCT,C1332098,1.0,1
BCL2 gene,GENE_OR_GENE_PRODUCT,C0376515,1.0,1
phosphatidylinositol 3-kinase binding,SIMPLE_CHEMICAL,C1625161,0.9221082925796509,1
Proto-Oncogene Proteins c-akt,GENE_OR_GENE_PRODUCT,C0164786,1.0,1
Mitogen-Activated Protein Kinases,GENE_OR_GENE_PRODUCT,C0752312,1.0,1
secretase,GENE_OR_GENE_PRODUCT,C0171484,1.0,1
Ataxins,GENE_OR_GENE_PRODUCT,C4042851,1.0,1
Amyotrophic Lateral Sclerosis,CANCER,C0002736,0.8236947655677795,1
Gamma-glutamyl transferase,GENE_OR_GENE_PRODUCT,C0017040,0.9016366600990295,1
1-Methyl-4-phenylpyridinium,SIMPLE_CHEMICAL,C0000098,1.0,1
BAX gene,GENE_OR_GENE_PRODUCT,C0812198,1.0,1
Truncated BID,GENE_OR_GENE_PRODUCT,C3641819,1.0,1
dibucaine,SIMPLE_CHEMICAL,C0012050,1.0,1
MDH2 gene,CELLULAR_COMPONENT,C1417088,0.7833647727966309,1
Urodela,ORGANISM,C0042058,0.8340644836425781,1
Mitochondrial Membranes,CELLULAR_COMPONENT,C0596952,1.0,1
Endoplasmic Reticulum,CELLULAR_COMPONENT,C0014239,0.854691207408905,1
quetiapine,SIMPLE_CHEMICAL,C0123091,0.9999999403953552,1
Dorsolateral Prefrontal Cortex,MULTI_TISSUE_STRUCTURE,C4019080,0.8816834092140198,1
Angular,CELLULAR_COMPONENT,C0205143,0.8640576601028442,1
Senile Plaques,GENE_OR_GENE_PRODUCT,C0333463,0.8191089630126953,1
beta catenin,GENE_OR_GENE_PRODUCT,C0105770,1.0,1
amantadine,SIMPLE_CHEMICAL,C0002403,1.0,1
carbidopa / levodopa,SIMPLE_CHEMICAL,C0353697,0.8559908866882324,1
Catechol O-Methyltransferase,GENE_OR_GENE_PRODUCT,C0007407,0.9216355681419373,1
Fibrates,SIMPLE_CHEMICAL,C1449704,1.0,1
Cardiovascular system,ANATOMICAL_SYSTEM,C0007226,0.9999999403953552,1
lycopene,SIMPLE_CHEMICAL,C0065331,1.0,1
Carotenoids,SIMPLE_CHEMICAL,C0007271,1.0,1
Flavonoids,SIMPLE_CHEMICAL,C0596577,1.0,1
Vitamins,SIMPLE_CHEMICAL,C0042890,1.0,1
SNCG gene,GENE_OR_GENE_PRODUCT,C1335851,0.842490553855896,1
Kynurenine,SIMPLE_CHEMICAL,C0022818,1.0,1
Quinolinic Acid,SIMPLE_CHEMICAL,C0072879,0.9999999403953552,1
tryptophan,SIMPLE_CHEMICAL,C0041249,1.0,1
pioglitazone,SIMPLE_CHEMICAL,C0071097,1.0,1
minocycline,SIMPLE_CHEMICAL,C0026187,1.0,1
interferon-gamma binding,GENE_OR_GENE_PRODUCT,C1149181,0.8932565450668335,1
caspase-3,GENE_OR_GENE_PRODUCT,C0291573,1.0,1
caspase-8,GENE_OR_GENE_PRODUCT,C0667830,0.9999998807907104,1
aluminum cation,SIMPLE_CHEMICAL,C2346726,1.0,1
Cerebrovascular Circulation,PATHOLOGICAL_FORMATION,C0007818,0.8538747429847717,1
Heme Oxygenase-1,GENE_OR_GENE_PRODUCT,C0538674,1.0,1
cysteamine,SIMPLE_CHEMICAL,C0010648,0.9999999403953552,1
Mesoporphyrins,SIMPLE_CHEMICAL,C0025494,0.7531423568725586,1
dexamethasone,SIMPLE_CHEMICAL,C0011777,1.0,1
Biliverdine,SIMPLE_CHEMICAL,C0005446,1.0,1
Coenzymes,SIMPLE_CHEMICAL,C0009235,1.0,1
Polyglutamic Acid,ORGANISM,C0032500,0.7441326379776001,1
periamygdaloid area,CANCER,C0458328,1.0,1
Hydroxyindoleacetic Acid,SIMPLE_CHEMICAL,C0020361,1.0,1
ubiquitin-protein ligase activity,GENE_OR_GENE_PRODUCT,C1150685,0.8308814167976379,1
Metalloproteins,GENE_OR_GENE_PRODUCT,C0025544,0.8323769569396973,1
IL1B gene,GENE_OR_GENE_PRODUCT,C1334112,1.0,1
interleukin-6,GENE_OR_GENE_PRODUCT,C0021760,1.0,1
Lipopolysaccharides,GENE_OR_GENE_PRODUCT,C0023810,1.0,1
PTGS2 gene,GENE_OR_GENE_PRODUCT,C1367485,1.0,1
Disintegrins,GENE_OR_GENE_PRODUCT,C0174807,0.9999998807907104,1
Notch,GENE_OR_GENE_PRODUCT,C1235660,1.0,1
Allocortex,ORGANISM,C2331343,0.9999999403953552,1
Adrenal Medulla,CANCER,C0001629,0.7109697461128235,1
Genus: Lentivirus group,ORGANISM,C0079679,1.0,1
Glycosaminoglycans,SIMPLE_CHEMICAL,C0017973,1.0,1
Biogenic Amines,SIMPLE_CHEMICAL,C0005496,0.8146027326583862,1
Coronary Arteriosclerosis,MULTI_TISSUE_STRUCTURE,C0010054,0.81696617603302,1
curcumin,SIMPLE_CHEMICAL,C0010467,1.0,1
Heme Oxygenase (Decyclizing),GENE_OR_GENE_PRODUCT,C0018969,1.0,1
Bilirubin,SIMPLE_CHEMICAL,C0005437,1.0,1
Tumeric,ORGANISM_SUBSTANCE,C0041356,0.9999999403953552,1
3-hydroxy-3-methylglutaryl-coenzyme A,GENE_OR_GENE_PRODUCT,C0047420,0.9326063394546509,1
heparin,SIMPLE_CHEMICAL,C0019134,0.9999999403953552,1
heparan sulfate,SIMPLE_CHEMICAL,C0019143,1.0,1
dextran sulfate,SIMPLE_CHEMICAL,C0079224,1.0,1
Keratan Sulfate,SIMPLE_CHEMICAL,C0022563,1.0,1
polyphenols,SIMPLE_CHEMICAL,C0071649,1.0,1
NF-kappa B,GENE_OR_GENE_PRODUCT,C0079904,1.0,1
Peptides,GENE_OR_GENE_PRODUCT,C0030956,0.7379772663116455,1
Low-Density Lipoproteins,CELL,C0023823,1.0,1
Serum Amyloid P-Component,GENE_OR_GENE_PRODUCT,C0002721,1.0,1
T-Lymphocyte,CANCER,C0039194,1.0,1
"Plaque, Atherosclerotic",TISSUE,C2936350,1.0,1
Cerebral Amyloid Angiopathy,PATHOLOGICAL_FORMATION,C0085220,1.0,1
Blood - brain barrier anatomy,TISSUE,C0005854,0.9999999403953552,1
carbocysteine,SIMPLE_CHEMICAL,C0006992,1.0,1
HEK293 Cells,CELL,C2936239,1.0,1
Lysosomes,CELLULAR_COMPONENT,C0024369,1.0,1
Reactive Nitrogen Species,SIMPLE_CHEMICAL,C0969698,0.9999998807907104,1
alprostadil,SIMPLE_CHEMICAL,C0002335,1.0,1
prostaglandin A1,GENE_OR_GENE_PRODUCT,C0072261,1.0,1
"herpesvirus 6, human",ORGANISM,C0019381,1.0,1
Nitric Oxide Synthase,GENE_OR_GENE_PRODUCT,C0132555,1.0,1
Subventricular Zone,MULTI_TISSUE_STRUCTURE,C3498657,1.0,1
Tauopathies,ORGANISM,C0949664,1.0,1
colfosceril palmitate,SIMPLE_CHEMICAL,C0216971,1.0,1
Frontal lobe gyrus,CANCER,C0228195,0.9999998807907104,1
Precentral gyrus,CANCER,C0152299,1.0,1
Cystic,PATHOLOGICAL_FORMATION,C0205207,0.9999998807907104,1
Tissue membrane,CELLULAR_COMPONENT,C0025255,1.0,1
Interleukins,GENE_OR_GENE_PRODUCT,C0021764,1.0,1
Kainate,SIMPLE_CHEMICAL,C0205812,0.9999999403953552,1
Neuropsychiatry,ORGANISM,C0870956,0.8841096758842468,1
Peptidyl-Dipeptidase A,GENE_OR_GENE_PRODUCT,C0022709,1.0,1
Angiotensins,GENE_OR_GENE_PRODUCT,C0003018,0.8726959228515625,1
cyclophosphamide/doxorubicin protocol,GENE_OR_GENE_PRODUCT,C0050385,1.0,1
SUCLA2 gene,GENE_OR_GENE_PRODUCT,C1420510,1.0,1
NR4A2 gene,GENE_OR_GENE_PRODUCT,C1417836,0.9999999403953552,1
A2M gene,GENE_OR_GENE_PRODUCT,C1412046,0.9999998807907104,1
Prealbumin,GENE_OR_GENE_PRODUCT,C0032923,1.0,1
Cyclin-Dependent Kinases,GENE_OR_GENE_PRODUCT,C0243045,1.0,1
NEFL gene,GENE_OR_GENE_PRODUCT,C1417668,1.0,1
IL12A gene,GENE_OR_GENE_PRODUCT,C1334101,1.0,1
CDK5R2 gene,GENE_OR_GENE_PRODUCT,C1413286,1.0,1
Myelin Associated Glycoprotein,GENE_OR_GENE_PRODUCT,C0129439,0.9999999403953552,1
Midbrain structure,CELL,C0025462,0.7430426478385925,1
Glutathione S-Transferase,GENE_OR_GENE_PRODUCT,C0017837,1.0,1
GSTO1 gene,GENE_OR_GENE_PRODUCT,C1421933,1.0,1
GSTO2 gene,GENE_OR_GENE_PRODUCT,C1427885,1.0,1
Stearoyl-CoA Desaturase,GENE_OR_GENE_PRODUCT,C0038233,1.0,1
serine,AMINO_ACID,C0036720,1.0,1
Structure of precuneus,CELLULAR_COMPONENT,C0152306,1.0,1
Posterior Cingulate Cortex,MULTI_TISSUE_STRUCTURE,C0175191,0.9999999403953552,1
"Amyotrophic Lateral Sclerosis, Guam Form",CANCER,C0543859,0.8620855212211609,1
2p13,CELLULAR_COMPONENT,C1521172,0.7407472729682922,1
Excitatory Amino Acids,SIMPLE_CHEMICAL,C0243046,1.0,1
LMX1B gene,GENE_OR_GENE_PRODUCT,C1416890,0.9999999403953552,1
Blood capillaries,TISSUE,C0006901,0.7759560942649841,1
collagen,GENE_OR_GENE_PRODUCT,C0009325,1.0,1
Cholinergic Agents,TISSUE,C0242893,0.7950435876846313,1
Heat-Shock Proteins 70,GENE_OR_GENE_PRODUCT,C0243043,1.0,1
Growth Hormone,ORGANISM,C0037663,1.0,1
SEPTIN4 gene,GENE_OR_GENE_PRODUCT,C1539747,1.0,1
SEPTIN5 gene,GENE_OR_GENE_PRODUCT,C1539748,1.0,1
SEPTIN7 gene,GENE_OR_GENE_PRODUCT,C1539749,1.0,1
SEPTIN8 gene,GENE_OR_GENE_PRODUCT,C1424343,1.0,1
apomorphine,SIMPLE_CHEMICAL,C0003596,0.7220041751861572,1
epigallocatechin gallate,SIMPLE_CHEMICAL,C0059438,1.0,1
ACO1 gene,GENE_OR_GENE_PRODUCT,C1412126,1.0,1
IREB2 gene,GENE_OR_GENE_PRODUCT,C1442498,1.0,1
sodium dodecyl sulfate,SIMPLE_CHEMICAL,C0037506,1.0,1
N-acetylaspartate,SIMPLE_CHEMICAL,C0067684,1.0,1
choline,SIMPLE_CHEMICAL,C0008405,1.0,1
inositol,SIMPLE_CHEMICAL,C0021547,1.0,1
Lentiform nucleus structure,TISSUE,C0162342,1.0,1
Coronal (qualifier value),MULTI_TISSUE_STRUCTURE,C0205123,1.0,1
Thioflavine S stain method,GENE_OR_GENE_PRODUCT,C1294425,0.7498993277549744,1
Methylmercury Compounds,SIMPLE_CHEMICAL,C0025794,1.0,1
Buthionine Sulfoximine,SIMPLE_CHEMICAL,C0054252,1.0,1
arachidonic acid,SIMPLE_CHEMICAL,C0003695,1.0,1
Phospholipase,GENE_OR_GENE_PRODUCT,C0031671,0.7277646064758301,1
CA4 gene,ORGANISM,C1413045,1.0,1
Casein Kinase Idelta,GENE_OR_GENE_PRODUCT,C1171766,1.0,1
HFE gene,GENE_OR_GENE_PRODUCT,C1384665,1.0,1
Skin Specimen,ORGAN,C0444099,1.0,1
acylphosphatase activity,GENE_OR_GENE_PRODUCT,C1149637,0.7339240312576294,1
IVNS1ABP gene,GENE_OR_GENE_PRODUCT,C1424660,1.0,1
methionine,SIMPLE_CHEMICAL,C0025646,1.0,1
valine,AMINO_ACID,C0042285,1.0,1
NEDD8 gene,GENE_OR_GENE_PRODUCT,C1417663,1.0,1
Cullin Proteins,GENE_OR_GENE_PRODUCT,C1257952,1.0,1
Muscular,TISSUE,C0442025,1.0,1
nerve growth factor,GENE_OR_GENE_PRODUCT,C0027752,1.0,1
Basal Forebrain,CANCER,C2331620,1.0,1
ACE gene,GENE_OR_GENE_PRODUCT,C1413931,1.0,1
Butyrylcholinesterase,GENE_OR_GENE_PRODUCT,C0728810,1.0,1
Gonadal Hormones,PATHOLOGICAL_FORMATION,C0301819,1.0,1
Heparan Sulfate Proteoglycans,SIMPLE_CHEMICAL,C0062503,0.9999998807907104,1
RAB5A gene,GENE_OR_GENE_PRODUCT,C1419212,1.0,1
RAB4A gene,GENE_OR_GENE_PRODUCT,C1419210,1.0,1
RABEP1 gene,GENE_OR_GENE_PRODUCT,C1425034,0.9391563534736633,1
Ulcer,PATHOLOGICAL_FORMATION,C0041582,1.0,1
flavin-adenine dinucleotide,SIMPLE_CHEMICAL,C0015540,1.0,1
Blood,ORGANISM_SUBSTANCE,C0005767,1.0,1
Nicotinic Receptors,SIMPLE_CHEMICAL,C0034830,0.9060806035995483,1
N-Methylaspartate,SIMPLE_CHEMICAL,C0079883,1.0,1
Monoamine Oxidase,GENE_OR_GENE_PRODUCT,C0026454,0.811913013458252,1
O-methyltransferase I,GENE_OR_GENE_PRODUCT,C2250927,0.9654048681259155,1
Trigeminal nerve motor nucleus,MULTI_TISSUE_STRUCTURE,C0228700,0.8025568723678589,1
Autonomic nervous system,CANCER,C0004388,1.0,1
raphe nuclei,CELL,C0034671,1.0,1
24-hydroxycholesterol,SIMPLE_CHEMICAL,C0208133,1.0,1
CYP46A1 gene,GENE_OR_GENE_PRODUCT,C1413885,0.9999999403953552,1
simvastatin,SIMPLE_CHEMICAL,C0074554,1.0,1
Bile fluid,SIMPLE_CHEMICAL,C0005388,1.0,1
Chromosome 1 Short Arm,CELLULAR_COMPONENT,C1327810,1.0,1
Insulin,GENE_OR_GENE_PRODUCT,C0021641,1.0,1
Prefrontal Cortex,CANCER,C0162783,1.0,1
SH3 Domain,GENE_OR_GENE_PRODUCT,C0282535,0.7661306262016296,1
1-Phosphatidylinositol 3-Kinase,GENE_OR_GENE_PRODUCT,C0044602,0.7046228051185608,1
PSMD8 gene,GENE_OR_GENE_PRODUCT,C1419039,1.0,1
Escherichia coli,ORGANISM,C0014834,0.9999999403953552,1
Myosin Light Chain Kinase,GENE_OR_GENE_PRODUCT,C0027120,0.7475062012672424,1
casein kinase I,GENE_OR_GENE_PRODUCT,C0108554,1.0,1
ATP7B gene,GENE_OR_GENE_PRODUCT,C1412689,0.9999999403953552,1
Lewy body-like hyaline inclusion,CELLULAR_COMPONENT,C3548435,0.7060519456863403,1
gamma-Tubulin,GENE_OR_GENE_PRODUCT,C0017056,1.0,1
alpha-Tubulin,GENE_OR_GENE_PRODUCT,C0002318,1.0,1
Vimentin,GENE_OR_GENE_PRODUCT,C0042666,1.0,1
ARIH1 gene,ORGANISM,C1412533,1.0,1
anterior olfactory nucleus,MULTI_TISSUE_STRUCTURE,C0175225,1.0,1
Foxes,ORGANISM,C0016633,0.9999998807907104,1
Persons,ORGANISM,C0027361,0.9999998807907104,1
